<CONCEPT_Tacet_Discord_Level>
[残象危险等级简报]

- 轻波级：
  - 形态特征：广泛分布于野外的基础残象，形态千奇百怪。它们常表现为小型动物的晶体化拟态（如鬃狼、小翼龙），或是无生命的物体异化（如棱镜、信号灯（通行灯偶）、幼岩）。
  - 力量评估：个体力量微薄，外壳脆弱，通常不具备复杂的战术智能。但它们往往成群结队出现，依靠数量优势对落单的探索者造成困扰。
- 巨浪级：
  - 形态特征：由轻波级进化或融合而来的强力个体。它们拥有更完整的物理形态，常显现为全副武装的人形、重型机械构造体或体型庞大的猛兽。
  - 力量评估：拥有高强度的频率外壳与特化的攻击手段（如能量护盾、重火器或元素高频刀刃）。它们是荒野探索中的主要威胁，具备一定的指挥能力，能统御周边的轻波级残象进行协同攻击。
- 怒涛级（Boss）：
  - 形态特征：独霸一方的区域霸主，往往拥有巨大的躯体，或具备极高的人类拟态与战斗智商。
  - 力量评估：具备毁灭性的异能与复杂的战斗逻辑，常规火力难以撼动其分毫。它们的存在本身就是对周边生态的扭曲，是能轻易摧毁一支正规编制小队的灾难化身。
- 海啸级（Boss）：
  - 形态特征：立于生态顶点的终极存在，其本源往往与“岁主”或“鸣式”的力量直接相关。
  - 力量评估：仅需苏醒便能引发改变地貌的浩劫，其频率波动足以引发生态崩溃。这是凡人难以企及的绝望深渊，通常需要举国之力或岁主级别的力量才能以此抗衡
</CONCEPT_Tacet_Discord_Level>
